1. der Monoskibobfahrer | monoski bobber | OK
2. der Polizeimeister | police master | WRONG: police sergeant — Polizeimeister is a German police rank, not a literal “police master”.
3. die Profimannschaft | professional team | OK
4. der Weltmeistertitel | world championship title | OK
5. das Hofzeremoniell | court ceremonial | OK
6. das Palmenhaus | palm house | OK
7. die Aufstiegschance | advancement chance | OK
8. die Pflanzensammlung | plant collection | OK
9. die Schlossbesichtigung | castle tour | OK
10. die Staatsgeschäfte | affairs of state | OK
11. die Schlossanlage | castle grounds | OK
12. der Schlossbesucher | of the castle visitors | IMPROVE: castle visitor — The current phrase is genitive/plural wording, not the noun itself.
13. der Textzusammenhang | context of the text | OK
14. der Kunstraub | art heist | OK
15. der Samstagabend | Saturday evening/Saturday night | OK
16. die Besucherzelle | visitor cell | OK
17. der Ich-Erzähler | first-person narrator | OK
18. der Gemälderaub | painting robbery | IMPROVE: painting theft — Raub can be robbery, but for a stolen painting “theft” is the natural learner translation.
19. der Banktresor | bank vault | OK
20. das Juweliergeschäft | jewellery shop | OK
21. das Rennpferd | racehorse | OK
22. die Bedeutungsnuance | nuance of meaning | OK
23. die Hochtechnologie | high technology | OK
24. das Sprachensterben | extinction of languages | OK
25. der Sprachforscher | linguist | OK
26. die Tierspur | animal track | OK
27. die Hundehütte | dog kennel | OK
28. der Road | road | OK
29. die Buchbesprechung | book review | OK
30. der Glaseinsatz | glass insert | OK
31. die Holztür | wooden door | OK
32. die Mauerritze | crack in the wall | OK
33. der Schuhabdruck | shoe print | OK
34. die Staubschicht | dust layer | OK
35. die Besatzungszone | occupation zone/occupied zone | OK
36. die Terrakottafliese | terracotta tile | OK
37. der Türflügel | door leaf | OK
38. die Toilettenspülung | toilet flush | OK
39. der Groll | resentment | OK
40. das Musikkonzert | music concert | OK
41. die Musikveranstaltung | music event | OK
42. die Alltagsszene | everyday scene | OK
43. die Honorarprofessur | honorary professorship | OK
44. die Kunstikone | art icon | OK
45. der Malereiprofessor | painting professor | OK
46. der Meisterschüler | master student | OK
47. die Verkaufsausstellung | sales exhibition | OK
48. die Werbegrafik | advertising graphics | OK
49. das Zugunglück | train crash | OK
50. die Monotonie | monotony | OK
