1. der Rücksitz | back-seat | IMPROVE: back seat - The noun is normally written as 'back seat'; 'back-seat' is mainly adjectival.
2. der Rückzugsraum | retreat space/safe space | OK
3. der Rummel | bustle/fair/fairground | OK
4. die Saat | seed/seedlings/sowing | OK
5. der Samba | samba | OK
6. der Schallschutz | sound insulation/noise protection | OK
7. die Schanze | sconce | WRONG: ski jump/ramp - Schanze means a ramp, ski jump, or fortification, not a wall sconce.
8. der Schaulustige | onlooker/rubberneck | OK
9. das Betriebsgelände | company grounds | OK
10. die Schießerei | gunfight/shooting/shootout | OK
11. die Schlachtung | slaughter | OK
12. die Schlägerei | brawl/fight/fighting | OK
13. der Schleier | veil | OK
14. die Schlinge | noose/sling/snare | OK
15. der Schlüsselfaktor | key factor | OK
16. die Schlüsselübergabe | key delivery | IMPROVE: key handover - ?bergabe is a handover, not ordinary delivery.
17. das Schmelzen | melting | OK
18. der Schneeschuh | snowshoe | OK
19. der Schotten | Scots/the Scottish | OK
20. das Bogenschießen | archery | OK
21. das Schreien | screaming | OK
22. die Schriftsprache | literary language/standard language/written language | OK
23. die Schulordnung | school order | WRONG: school rules/school regulations - Schulordnung means the rules or regulations of a school.
24. das Schultergelenk | shoulder joint | OK
25. der Bonbon | candy/goody/hard candy | OK
26. der Schutzstreifen | protective strip/advisory cycle lane | OK
27. der Schwachsinn | folly/mental deficiency/nonsense | OK
28. die Schwinge | wing | OK
29. die Sechzigerjahre | the sixties | OK
30. die Seitenlänge | angle duration | WRONG: side length - Seite means side here; L?nge is length, not duration.
31. die Seitenzahl | angle count | WRONG: page number - Seitenzahl means the number of a page, not an angle count.
32. das Lehrerzimmer | teachers' room | OK
33. die Selbstmedikation | self medication | OK
34. die Semantik | semantics | OK
35. der Sicherheitsgurt | safety belt/seat belt | OK
36. der Siebenschläfer | dormouse/edible dormouse/fat dormouse | OK
37. die Sinnlichkeit | sensuality | OK
38. die Sitzheizung | seat heating | OK
39. das Sitzmöbel | seating furniture | OK
40. die Skale | scale | OK
41. der Skorpion | scorpion | OK
42. der Bote | courier/messenger | OK
