1. die Tragfläche | aerofoil/airfoil/foil | IMPROVE: wing/airfoil - This most often means an aircraft wing; "foil" alone is misleading.
2. die Trance | trance | OK
3. das Tränengas | lachrymatory agent/tear gas | OK
4. das Transplantat | graft/transplant | OK
5. das Transportfahrzeug | transport vehicle | OK
6. der Trauergast | mourner | OK
7. die Traumwelt | dreamworld | OK
8. der Trigger | trigger | OK
9. der Trödel | junk/trash | OK
10. der Trödelmarkt | flea market | OK
11. das Trommelfell | ear drum/eardrum | OK
12. der Trommler | drummer | OK
13. der Tropenwald | tropical forest | OK
14. die Tröpfcheninfektion | airborne infection/droplet infection | OK
15. der Tross | baggage | WRONG: entourage/retinue - Tross means an accompanying group or train, not baggage by itself.
16. das Tschechisch | Czech | OK
17. das Tumorwachstum | tumor growth | OK
18. der Twist | twist | OK
19. die Überdosis | overdose | OK
20. das Überholmanöver | manoeuvre | WRONG: overtaking maneuver - The current gloss omits the overtaking meaning.
21. der Klient | client | OK
22. der Überweisungsträger | transfer slip/payment slip | OK
23. das Ultraschallbild | ultrasound idea | WRONG: ultrasound image - Bild means image here, not idea.
24. der Umfragewert | poll price | WRONG: poll rating/poll figure - Wert here means a measured figure, not a price.
25. der Umgebungslärm | ambient noise | OK
26. die Umsatzeinbuße | drop in sales | OK
27. der Umweltfaktor | environmental factor | OK
28. die Umweltplakette | emissions sticker/environmental sticker | OK
29. die Unaufmerksamkeit | inattentiveness | OK
30. das Understatement | understatement | OK
31. der Unfallhergang | course of the accident | OK
32. das Universitätsstudium | university studies | OK
33. das Unix | Unix | OK
34. die Unkosten | costs/expenses | OK
35. der Unschuldige | innocent person | OK
36. die Unterernährung | malnutrition/undernourishment/undernutrition | OK
37. die Unterlassungsklage | omission claim | WRONG: injunction/action for injunction - Unterlassungsklage is a legal action to stop something, not an omission claim.
38. die Unternehmensplanung | business planning | OK
39. der Unterton | undertone | OK
40. das Unterverzeichnis | subdirectory/subfolder | OK
41. die Unze | ounce | OK
42. das Umweltbewusstsein | environment awareness | OK
