1. der Lorbeer | bay leaf/sweat laurel | IMPROVE: laurel/bay laurel - "Bay leaf" is only the leaf; Lorbeer usually means the laurel plant or symbol.
2. der Lübecker | acorn | WRONG: person from Lubeck - Lubecker is a demonym, not an acorn.
3. der Luftreiniger | air cleaner/air purifier/clean airsystem | OK
4. das Lustspiel | comedy | OK
5. die Lutherbibel | Bible | IMPROVE: Luther Bible - The gloss is too generic for this specific Bible translation.
6. das Luxusgut | luxury estate | WRONG: luxury good - Luxusgut means a luxury good, not an estate.
7. das Lymphödem | lymphedema | OK
8. der Mädchenchor | girl chancel | WRONG: girls' choir - M?dchenchor is a choir of girls, not a chancel.
9. die Mafia | mafia | OK
10. das Mahlwerk | meal act | WRONG: grinder/mill mechanism - Mahlwerk is the grinding mechanism of a mill or grinder.
11. die Maische | mash/slurry | OK
12. das Maisfeld | cornfield | OK
13. der Maklervertrag | broker agreement | OK
14. die Makrele | mackerel | OK
15. das Malz | malt | OK
16. die Männermannschaft | crew | WRONG: men's team - M?nnermannschaft is a sports team of men, not a generic crew.
17. die Mannigfaltigkeit | diversity/manifold | OK
18. der Marketingexperte | marketing expert | OK
19. das Maschinengewehr | machine gun | OK
20. die Mass | litre of beer (Bavarian) | OK
21. das Maßband | tape measure | OK
22. die Massenarbeitslosigkeit | mass unemployment | OK
23. die Masseneinwanderung | mass immigration | OK
24. das Massivholz | solid wood | OK
25. die Matrikelnummer | register number | IMPROVE: matriculation number/student ID - "Register number" is too broad for the usual university student number.
26. der Mauerbau | wall building | IMPROVE: wall construction - This is the construction of a wall, not a building as a noun.
27. der Maulkorb | muzzle | OK
28. das Medaillon | medaillon/medallion | OK
29. das Mediennetzwerk | media network | OK
30. die Vollnarkose | general anaesthesia/general anesthesia | OK
31. der Meeresschutz | marine protection/marine conservation | OK
32. der Meeresspiegelanstieg | sea level rise | OK
33. die Meerjungfrau | mermaid | OK
34. die Megastadt | megacity | OK
35. die Mehlschwalbe | house martin | OK
36. die Meinungsforschung | opinion research | OK
37. der Meisterbetrieb | master craftsman's business | OK
38. die Menschenfreundlichkeit | philanthropy/human kindness | OK
39. der Menschenrechtsaktivist | human rights activist | OK
40. der Menschenrechtsverteidiger | human rights defender | OK
41. die Menschwerdung | grounding | WRONG: incarnation/becoming human - Menschwerdung means becoming human, especially the Incarnation, not grounding.
42. die Merkwürdigkeit | peculiarity | OK
43. die Messerattacke | knife attack/stabbing attack | OK
44. die Messreihe | expo chain | WRONG: measurement series - Messreihe is a series of measurements, not an expo chain.
45. das Metallteil | metal part | OK
46. die Meterware | fabric/material sold by the meter | OK
47. das Metformin | metformin | OK
48. der Mikrobiologe | microbiologist | OK
49. die Milcherzeugung | milk production | OK
50. die Milchproduktion | milk production | OK
51. das Milchpulver | powdered milk | OK
52. die Milchwirtschaft | milk economics | WRONG: dairy industry - Milchwirtschaft means the dairy industry, not economics in general.
53. die Milde | balminess/benignity/clemency | OK
54. die Militärgeschichte | military history | OK
55. die Millionenstadt | megacity/megalopolis | WRONG: city of over a million - A Millionenstadt has over one million inhabitants; megacity usually implies much larger.
56. die Miniaturisierung | miniaturization | OK
57. der Mischbestand | existence | WRONG: mixed stand/mixed stock - Mischbestand means a mixed stock or stand, not existence.
58. die Mistel | mistletoe | OK
59. der Erdboden | ground | OK
60. der Mitgliedsantrag | member application | IMPROVE: membership application - "Member application" can sound like an application submitted by a member.
61. das Mitochondrium | mitochondrion | OK
62. der Mittelgang | central aisle | OK
63. das Mittelmaß | average | IMPROVE: mediocrity - Mittelma? usually means mediocrity or averageness, not a mathematical average.
64. das Mittelmeer | mediterranean sea | OK
65. der Mittwochmittag | Wednesday lunchtime | OK
66. der Mittwochvormittag | Wednesday forenoon | IMPROVE: Wednesday morning - "Forenoon" is archaic; Vormittag is ordinary morning before noon.
67. die Mobilitätswende | mobility transition | OK
68. das Modeunternehmen | fashion company | OK
69. das Mofa | moped | OK
70. der Monarch | monarch | OK
71. der Monatsbeginn | start of the month | OK
72. die Monatsmiete | monthly/rent | WRONG: monthly rent - The current slash-separated gloss is malformed and obscures the noun.
73. die Mondphase | lunar phase | OK
74. der Monolith | monolith | OK
75. die Monstranz | monstrance | OK
76. die Moorlandschaft | bog landscape | OK
77. das Morphin | morphine | OK
78. die Mortalitätsrate | mortality rate | OK
79. der Mosaikstein | mosaic boulder | WRONG: mosaic stone/tile - Mosaikstein is a small mosaic piece, not a boulder.
80. die Moscheegemeinde | mosque municipality | WRONG: mosque community/congregation - Gemeinde here is a religious community, not a municipality.
81. die Motette | motet | OK
82. der Motorschaden | engine damage/engine failure/engine trouble | OK
83. der Muffin | muffin | OK
84. die Mülldeponie | dump/garbage dump/landfill | OK
85. die Müllvermeidung | garbage avoidance | IMPROVE: waste reduction/waste avoidance - "Garbage avoidance" is unnatural for the environmental term M?llvermeidung.
86. die Mündigkeit | maturity/adulthood | OK
87. der Mundwinkel | corner of one's mouth | OK
88. die Musikanlage | sound system/stereo system | OK
89. der Musikgeschmack | musical taste/taste in music | OK
90. die Muslima | Muslim | IMPROVE: Muslim woman - Muslima specifically denotes a female Muslim.
91. der Mustang | mustang | OK
92. der Musterbrief | sample letter | OK
93. das Mutterhaus | mother house | OK
94. der Nachhall | reverberation | OK
95. das Nachkriegsdeutschland | postwar Germany | OK
96. die Nachkriegsgeschichte | post-war history | OK
97. das Nachkriegsjahr | postwar year | OK
98. der Nachmittagsunterricht | afternoon lessons | OK
99. das Nahrungsspektrum | aliment spectrum | WRONG: food spectrum/dietary range - Nahrungsspektrum refers to the range of food eaten, not an aliment spectrum.
100. die Vorsprache | perusal/visit | WRONG: formal appointment/appearance in person - Vorsprache is appearing for an appointment or interview, not perusal.
101. der Nasenbär | coati | OK
102. die Nasenschleimhaut | nasal mucosa | OK
103. die Nassrasur | wet shaving | OK
104. die Nasszelle | wet basic item | WRONG: wet room - Nasszelle is a compact bathroom or wet room, not a basic item.
105. der Naturfotograf | nature photographer | OK
106. die Naturgefahr | natural hazard | OK
107. das Naturschutzgesetz | nature conservation act | OK
108. der Naturstoff | natural product | OK
109. der Navigator | navigator | OK
110. die Nebenbeschäftigung | activity | WRONG: secondary employment/side job - Nebenbesch?ftigung is a side job, not activity in general.
111. der Neger | negro/cue card | WRONG: Negro (offensive racial slur) - "Cue card" is unrelated, and the German term is offensive and obsolete.
112. die Neubearbeitung | adaptation | IMPROVE: new edition/reworking - Neubearbeitung is a revised reworking or new edition, not just any adaptation.
113. die Neuberechnung | calculation | WRONG: recalculation - Neuberechnung means calculating again, not calculation in general.
114. der Neutronenstern | neutron star | OK
115. der Newtonmeter | newton metre | OK
116. die Nichtbeachtung | inobservance/nonobservance | OK
117. die Nichterfüllung | default/failure of performance/failure to perform | OK
118. das Erdreich | soil | OK
119. das Existenzminimum | living wage | WRONG: subsistence minimum - Existenzminimum is the minimum needed to live, not the labor-market concept living wage.
120. das Niemandsland | no-man's-land | OK
121. die Nilgans | Egyptian goose | OK
122. die Nitratbelastung | nitrate burden | WRONG: nitrate pollution/contamination - Belastung here means pollution or contamination, not a physical burden.
123. der Nitratgehalt | nitrate content | OK
124. der Nominalwert | nominal value/face value | OK
125. der Nordstrand | north beach | OK
126. der Normalbetrieb | business | WRONG: normal operation - Normalbetrieb means regular operation, not business in general.
127. das Notariat | notary's office/notaryship | OK
128. die Notbremse | emergency brake | OK
129. der Novize | novice | OK
130. das Nudelgericht | pasta | IMPROVE: pasta dish - Nudelgericht is a prepared dish, not pasta as an ingredient.
131. die Nützlichkeit | use | WRONG: usefulness - N?tzlichkeit is usefulness, not use as an action.
132. der Nutzwert | price | WRONG: utility value - Nutzwert means practical utility value, not price.
133. die Nymphe | nymph | OK
134. das Obergeschoß | fold | WRONG: upper floor - Obergescho? means the upper storey, not a fold.
135. der Oberlauf | headwater/upper reaches | OK
136. die Oberleitung | catenary/overhead line/overhead wire | OK
137. der Oberschenkelknochen | femur | OK
138. der Oberschüler | upper school student/high school student | OK
139. der Oberton | overtone | OK
140. die Oberweite | bust size | OK
141. die Obstart | fruit type | OK
142. der Obstgarten | orchard | OK
143. das Ödland | wasteland | OK
144. die Ohrfeige | slap | OK
145. das Ohrläppchen | ear lobe/ear-lap/ear-lobe | OK
146. der Olivenhain | olive grove | OK
147. der Onlineauftritt | appearance | WRONG: online presence - Onlineauftritt is an online presence, not appearance in general.
148. das Onlinemagazin | online magazine/web magazine | OK
149. die Onlineumfrage | online survey | OK
150. die Onlinewelt | online world/virtual world | OK
151. die Opferrolle | casualty part | WRONG: victim role - Opferrolle is the role or mindset of a victim, not a casualty part.
152. der Originalzustand | original condition | OK
153. der Ork | Ork/orc | OK
154. die Ortskenntnis | local knowledge | OK
155. der Ostersamstag | Easter Saturday | OK
156. das Osterwochenende | east weekend | WRONG: Easter weekend - Osterwochenende means Easter weekend, not east weekend.
157. das Ostgebiet | east area | IMPROVE: eastern region/area - "East area" is unnatural; Ostgebiet means an eastern region or territory.
158. der Ostteil | eastern part | OK
159. die Ouvertüre | overture | OK
160. das Ozonloch | hole in the ozone layer/ozone hole | OK
161. die Paillette | paillette/sequin/spangle | OK
162. der Paketbote | package deliverer | OK
163. der Paketshop | post office | WRONG: parcel shop - Paketshop is a parcel pickup/drop-off shop, not a post office.
164. die Panikmache | alarmism | OK
165. das Panoramafenster | picture-window | OK
166. die Papierfabrik | paper mill | OK
167. die Papiermühle | paper mill | OK
168. der Papiermüll | waste-paper | OK
169. der Papierstreifen | paper strip | OK
170. der Pappkarton | cardboard/cardboard box | OK
171. die Paranoia | paranoia | OK
172. die Parklücke | parking space | OK
173. die Parkscheibe | parking disc | OK
174. das Parteiensystem | party structure | OK
175. der Partikelfilter | particle filter | OK
176. die Familienversicherung | family affirmation | WRONG: family insurance - Familienversicherung is insurance coverage for family members.
177. der Partygast | do guest | WRONG: party guest - Partygast is a guest at a party, not "do guest."
178. der Pasch | doublet (dice) | OK
179. die Passantin | passer-by (female) | OK
180. die Passung | fit/engineering fit | OK
181. das Pausenbrot | sandwich | IMPROVE: packed lunch/school snack - Pausenbrot is food for a break, often but not always a sandwich.
182. die Pediküre | pedicure | OK
183. die Pellkartoffel | potato boiled in its skin | OK
184. der Penetrationstest | penetration test | OK
185. das Penthouse | penthouse | OK
186. das Perl | Perl | OK
187. die Persiflage | mocking/parody/pastiche | OK
188. der Personalabbau | staff reduction/downsizing | OK
189. das Personenstandsregister | civil status index | WRONG: civil-status register - Personenstandsregister is a civil register, not an index.
190. der Pfälzer | person from the Palatinate | OK
191. das Pfefferkorn | pepper grain | IMPROVE: peppercorn - Pepperkorn is normally rendered as the single English word peppercorn.
192. die Pflichtlektüre | business reading | WRONG: required reading - Pflichtlekt?re is mandatory reading, not business reading.
193. der Pier | jetty | OK
194. die Pilotanlage | pilot plant | OK
195. der Pilzbefall | fungus attack | IMPROVE: fungal infestation - "Fungus attack" is unnatural; Pilzbefall is an infestation.
196. das Plankton | plankton | OK
197. der Planwagen | plan Dipper | WRONG: covered wagon - Planwagen is a covered wagon, not a plan dipper.
198. die Planwirtschaft | planned economy | OK
199. das Platt | dialect | OK
200. der Pluralismus | pluralism | OK
201. der Pneu | tyre | OK
202. der Polarfuchs | arctic fox/polar fox/snow fox | OK
203. das Polizeiauto | police car | OK
204. der Polizeichef | chief of police | OK
205. die Polizeigewalt | police brutality/police violence | OK
206. die Polizeikontrolle | police control | WRONG: police check - Polizeikontrolle is a police check or stop; "police control" is misleading.
207. die Polizeisprecherin | police speaker | WRONG: police spokeswoman - Sprecherin is a female spokesperson, not a speaker device or role.
208. der Porridge | oatmeal/porridge/supawn | OK
209. die Postfiliale | postal branch | OK
210. die Postsendung | mail item/postal item | OK
211. das Potpourri | potpourri | OK
212. die Präambel | preamble | OK
213. der Prachtbau | glory building | WRONG: magnificent building - Prachtbau is an impressive building, not a glory building.
214. der Pranger | pillory | OK
215. das Praxiswissen | practical knowledge | OK
216. das Preisgericht | jury | OK
217. der Preisverfall | price collapse | OK
218. der Pressespiegel | press level | WRONG: press review - Pressespiegel is a press review or media digest, not a level.
219. das Privateigentum | personal effects/personal property/private property | OK
220. die Vorstadt | centre | WRONG: suburb - Vorstadt means suburb, not centre.
221. die Privatinsolvenz | personal insolvency/private insolvency | OK
222. der Privatkredit | personal loan/private loan | OK
223. das Privatrecht | private law | OK
224. die Privatsache | private matter | OK
225. der Privatsektor | private sector | OK
226. das Probetraining | trial training | OK
227. das Procedere | procedure/process | OK
228. die Produktionsplanung | production planning | OK
229. die Produktplatzierung | product placement | OK
230. das Progesteron | progesterone | OK
231. der Promoter | promoter | OK
232. der Prosecco | prosecco | OK
233. das Proseminar | introductory seminar | OK
234. das Protektorat | protectorate | OK
235. der Proxy | proxy | OK
236. die Prozessanalyse | process analysis | OK
237. der Prozessbevollmächtigte | attorney of record/authorised proxy | OK
238. der Psychoanalytiker | psychoanalyst | OK
239. die Pulsmessung | pulse measurement | OK
240. die Pupille | pupil | OK
241. das Puppenspiel | puppet play | IMPROVE: puppet show - Puppenspiel is more naturally a puppet show than a literal puppet play.
242. das Puzzleteil | jigsaw piece/puzzle piece | OK
243. der Quadrant | quadrant | OK
244. die Qualitätssteigerung | quality improvement | OK
245. das Qualitätszeichen | quality character | WRONG: quality mark - Qualit?tszeichen is a quality mark or seal, not a character.
246. das Quäntchen | tiny bit/particle | OK
247. die Quantenphysik | quantum physics | OK
248. das Qubit | qubit | OK
249. die Quellenlage | source situation/source availability | OK
250. die Quiche | quiche | OK
251. das Quintett | quintet | OK
252. der Rachenraum | throat region | OK
253. das Radiogerät | radio set/radio device | OK
254. der Radiomoderator | radio host | OK
255. die Radiostation | radio station | OK
256. der Radiowecker | clock radio | OK
257. die Radlerin | bicyclist | OK
258. das Radrennen | bicycle race | OK
259. die Rahmenhandlung | frame story/framing narrative | OK
260. die Rapperin | rapper (female) | OK
261. das Rasseln | rattling | OK
262. die Räterepublik | republic | WRONG: council republic/Soviet republic - R?terepublik refers to a council-based republic, not any republic.
263. die Ratifikation | ratification | OK
264. die Rationalisierung | rationalisation | OK
265. die Rauchwolke | fume cloud | IMPROVE: cloud of smoke - Rauchwolke is a smoke cloud; "fume cloud" is less natural and narrower.
266. das Reaktionsvermögen | reaction assets | WRONG: ability to react/responsiveness - Reaktionsverm?gen is reaction ability, not assets.
267. die Rebellengruppe | rebel group | OK
268. die Rechenmaschine | calculator | OK
269. das Rechnungsdatum | arithmetic date | WRONG: invoice date - Rechnungsdatum is the date on an invoice, not an arithmetic date.
270. die Rechtsfähigkeit | legal capacity/rights capacity | OK
271. die Rechtskurve | right-hand bend | OK
272. die Rechtswidrigkeit | illegality/unlawfulness | OK
273. die Referatsleiterin | section head (female) | OK
274. der Refugee | refugee | OK
275. der Regensensor | rain sensor | OK
276. die Regierungschefin | government boss | WRONG: head of government - Regierungschefin is a female head of government, not a government boss.
277. das Regierungsprogramm | government program/government programme | OK
278. das Regierungsviertel | government quarter | OK
279. die Regionalgeschichte | regional history | OK
280. die Registrierkasse | cash register | OK
281. die Reibe | grater | OK
282. der Reifenhändler | tyre dealer | OK
283. die Reifezeit | ripening time/maturation period | OK
284. der Reiher | egret/heron | OK
285. die Rein | casserole/stove | WRONG: roasting pan/baking dish - Rein is an Austrian baking or roasting dish; stove is not the noun's meaning.
286. das Reisefieber | travel nerves | OK
287. die Reisekostenabrechnung | receipted expenses form/travel expense accounting/travel expense report | OK
288. der Reisekostenzuschuss | grant | WRONG: travel allowance - Reisekostenzuschuss is a subsidy for travel costs, not a grant in general.
289. die Reiselust | wanderlust/desire to travel | OK
290. die Reisevorbereitung | travel preparation | OK
291. der Rekorder | order | WRONG: recorder - Rekorder is a recording device, not an order.
292. die Religionsausübung | faith exertion | WRONG: religious practice - Religionsaus?bung means practicing a religion, not exertion.
293. die Religionswissenschaft | religious studies | OK
294. die Reminiszenz | reminiscence | OK
295. die Remission | remission | OK
296. der Rentenmarkt | bond market | OK
297. die Repressalie | reprisal | OK
298. die Resektion | resection | OK
299. der Ressortleiter | department head/section editor | OK
300. der Rettungseinsatz | rescue effort/rescue mission | OK
301. der Rezensent | critic/reviewer | OK
302. der Rheinländer | Rhinelander | OK
303. das Richteramt | judicial office/judgeship | OK
304. das Riechen | smelling | OK
305. das Ried | cane/cane brake/reed | OK
306. der Riesenerfolg | giant success | OK
307. der Riesenschritt | giant step/huge step | OK
308. das Fernsehprogramm | TV program/television program | OK
309. der Risotto | risotto | OK
310. der Rittersaal | great hall | IMPROVE: knights' hall - Rittersaal is the hall in a castle or palace, more specific than great hall.
311. die Robinie | black locust | OK
312. der Rohrbruch | pipe burst/pipeline rupture | OK
313. der Rollladen | roller shutter | OK
314. die Romanze | romance | OK
315. das Rondell | rondelle/rondel | IMPROVE: round structure/roundabout - The existing cognates are obscure; Rondell is usually a round structure or traffic circle.
316. der Rosenmontagszug | Rose Monday parade (Carnival) | OK
317. die Rosette | rosette | OK
318. das Ross | horse/idiot/knight | OK
319. die Rota | Rota | OK
320. der Rotkohl | red cabbage | OK
321. die Feuerwache | fire station | OK
322. die Finanzbuchhaltung | financial accounting | OK
323. die Safari | safari | OK
324. das Salatblatt | lettuce leaf | OK
325. der Salbei | common sage/garden sage/sage | OK
326. der Sämling | seedling | OK
327. das Sammlerstück | collector's item | OK
328. der Samstagvormittag | Saturday morning | OK
329. die Sandfläche | sand area | OK
330. die Sardine | pilchard/sardine | OK
331. der Satzverlust | composition loss | WRONG: set loss - In sports, Satzverlust means losing a set, not composition loss.
332. die Sauerstoffversorgung | oxygen supply | OK
333. der Saugnapf | suction cup/suction pad | OK
334. der Saurier | saurian | IMPROVE: dinosaur - Saurier is commonly used for dinosaurs; saurian is technical English.
335. der Schabernack | hoax | WRONG: mischief/prank - Schabernack means playful mischief, not a hoax.
336. das Schachbrett | chessboard/marbled white | OK
337. das Schachturnier | chess tournament | OK
338. der Schafskäse | sheep cheese | IMPROVE: sheep's cheese - This is the natural English form for cheese made from sheep milk.
339. die Schatzkiste | treasure chest | OK
340. die Schatztruhe | treasure chest | OK
341. die Schauspielerei | acting | OK
342. das Fischerdorf | fishing village | OK
343. die Scheibenbremse | disc break/disk break | WRONG: disc brake/disk brake - The current gloss uses "break" instead of brake.
344. der Scheich | boyfriend/deck officer/disagreeable person | WRONG: sheikh - Scheich means sheikh; the listed senses are unrelated.
345. der Scheitel | crown/parting/vertex | OK
346. der Scherbenhaufen | shambles/pile of shards | OK
347. der Schichtbetrieb | class business | WRONG: shift operation - Schichtbetrieb means working in shifts, not class business.
348. die Schiefertafel | schist banquet | WRONG: slate tablet/slate - Schiefertafel is a slate tablet or slab, not a banquet.
349. die Folgezeit | aftermath | IMPROVE: subsequent period - Folgezeit means the time that follows; aftermath is too consequence-focused.
350. der Schienenpersonennahverkehr | rail local passenger traffic | IMPROVE: local passenger rail transport - The literal gloss is awkward for the established transport term.
351. der Schienenweg | railway/rail route | OK
352. der Schiffbrüchige | castaway | OK
353. das Schimpfwort | curse/name/swearword | OK
354. der Schlachter | butcher/slaughterer | OK
355. die Schleichwerbung | plug/product placement | OK
356. die Schliere | streak/striation | OK
357. die Schlittenfahrt | sleigh ride | OK
358. der Schlosser | fitter/locksmith/machinist | OK
359. die Schlosskapelle | bolt chapel | WRONG: castle chapel - Schlosskapelle is a chapel in a castle or palace, not a bolt chapel.
360. das Schlüsselbein | clavicle/collarbone | OK
361. der Schlusspfiff | close whistle | WRONG: final whistle - Schlusspfiff is the final whistle in sport, not a close whistle.
362. der Schmelzofen | melting furnace | OK
363. die Schmerztablette | analgesic tablet/painkiller/painkilling tablet | OK
364. das Schneckenhaus | snail shell/snailshell | OK
365. der Fond | back/background/stock | OK
366. der Schneehase | alpine hare/arctic hare/mountain hare | OK
367. die Schneekette | snow chain | OK
368. der Schneemann | snowman | OK
369. die Schneise | air corridor/air lane/aisle | WRONG: cleared strip/firebreak - Schneise is usually a cleared strip through terrain or forest, not an aisle.
370. die Schnellstraße | freeway/highway | OK
371. die Schnittverletzung | average breach | WRONG: cut injury - Schnittverletzung is an injury from a cut, not an average breach.
372. die Schnittwunde | cut | OK
373. das Schnürchen | little cord/string | OK
374. die Schöpfungsgeschichte | creation story | OK
375. die Schote | pod/silique/pod (botany) | OK
376. die Schräglage | inclined position | OK
377. der Schreiberling | hack/hack poet/scribbler | OK
378. das Schreibgerät | writing utensil | OK
379. der Schrein | shrine | OK
380. der Schriftspracherwerb | Bible language acquisition | WRONG: acquisition of written language/literacy acquisition - Schriftsprache means written language, not Bible language.
381. das Schuhgeschäft | shoe shop/shoe store | OK
382. der Schuhschrank | shoe cabinet | OK
383. die Schuldzuweisung | assignment of guilt | OK
384. die Schulpsychologin | school psychologist | OK
385. die Schulrätin | school councillor | WRONG: school inspector/education official - Schulr?tin is an education official, not a school counsellor.
386. das Schulrecht | school law | OK
387. der Schurke | rogue/scoundrel/villain | OK
388. der Schusswechsel | gunfight | OK
389. der Schüttelfrost | chills | OK
390. der Schützengraben | trench | OK
391. die Schutzmacht | protective power | OK
392. die Schutzplanke | guardrail | OK
393. der Schutzwall | protective wall | OK
394. der Schwangerschaftsdiabetes | gestational diabetes | OK
395. der Schwarzspecht | black woodpecker | OK
396. die Schweigeminute | minute of silence/minute's silence/moment of silence | OK
397. der Schweinswal | porpoise | OK
398. die Schwiele | callus | OK
399. der Schwimmunterricht | swimming lessons | OK
400. das Schwindelgefühl | dizziness/vertigo | OK
401. der Sechser | Number 6/sixth-grader | OK
402. das Sechstel | sixth (1/6) | OK
403. der Seefahrer | sailor | OK
404. der Seegang | rough seas/sea disturbance/swell | OK
405. das Segelschiff | sailing ship/sailing vessel | OK
406. die Förde | fjord/firth | OK
407. der Segeltörn | sailing trip | OK
408. die Segregation | segregation | OK
409. die Seifenblase | soap bubble | OK
410. der Seitenhieb | angle blow | WRONG: sideswipe/dig - Seitenhieb is a verbal jab or sideswipe, not an angle blow.
411. die Seitentasche | side pocket | OK
412. das Selbstbildnis | self-portrait | OK
413. die Selbstdisziplin | self-discipline | OK
414. die Selbsterfahrung | self-awareness/self-experience | OK
415. die Selbsterkenntnis | self-knowledge | OK
416. das Selbstporträt | self-portrait | OK
417. der Waffenhandel | arms trade | OK
418. der Semesterstart | semester start | OK
419. der Semmelknödel | bread dumpling/bun dumpling | OK
420. der Siebte | seventh | OK
421. die Siegermacht | victorious power | OK
422. die Silage | silage | OK
423. die Sinneswahrnehmung | meaning perception | WRONG: sensory perception - Sinneswahrnehmung is perception by the senses, not meaning perception.
424. die Sintflut | deluge/the Flood | OK
425. das Skalpell | scalpel | OK
426. der Skispringer | ski jumper | OK
427. die Sklavin | slave | OK
428. die Skriptsprache | scripting language | OK
429. der Slip | briefs | OK
430. der Snap | hike/snap | OK
431. der Snowboarder | snowboarder | OK
432. die Sojamilch | soy milk | OK
433. das Solarkraftwerk | solar energy plant/solar power station | OK
434. der Sommelier | sommelier/wine steward | OK
435. der Sommerhit | summer hit | OK
436. die Sondersendung | probe broadcasting | WRONG: special broadcast/programme - Sondersendung is a special broadcast, not probe broadcasting.
437. der Sonderzug | chartered train/special train | OK
438. das Sonnenschutzmittel | sun cream/sunblock/sunscreen | OK
439. die Spanierin | Spaniard | OK
440. der Sparren | cheveron/chevron/eccentricity | WRONG: rafter - Sparren primarily means a roof rafter; the current gloss misses that.
441. das Speisesalz | table salt | OK
442. das Spendenkonto | donation account | OK
443. das Sperrholz | plywood | OK
444. die Spezialklinik | clinic | IMPROVE: specialist clinic - Spezialklinik is a specialized clinic, not any clinic.
445. das Spezialwerkzeug | special tool/specialized tool | OK
446. der Spiegelstrich | dash | OK
447. der Spieleentwickler | game developer | OK
448. die Spielform | game form | OK
449. der Spielinhalt | game content | OK
450. die Spielstärke | game amylum | WRONG: playing strength - Spielst?rke is playing strength or skill level, not game starch.
451. das Forschungsinteresse | research interest | OK
452. die Sportlehrerin | sports teacher/PE teacher | OK
453. der Sportsgeist | sportsmanship | OK
454. das Sportspiel | sport game | OK
455. die Sportstunde | sports lesson/PE lesson | OK
456. die Spraydose | aerosol can/spray can | OK
457. die Spritztour | joyride | OK
458. das Spritzwasser | splash water/spray water | OK
459. der Sprudel | fizz/fizzy drink/pop | OK
460. der Spülgang | rinse cycle | OK
461. die Staatsanwältin | public prosecutor (female) | OK
462. der Staatsdiener | States servant | WRONG: civil servant - Staatsdiener means a servant of the state, i.e. a civil servant.
463. das Staatsfinanzen | state finances | OK
464. der Staatsgast | States guest | WRONG: state guest - Staatsgast is an official state guest, not a states guest.
465. der Staatsmann | politician/statesman | OK
466. der Stahlbau | steel building | IMPROVE: steel construction - Stahlbau usually names the field or method of steel construction.
467. das Stalking | stalking | OK
468. der Stammplatz | regular place/regular seat | OK
469. die Standardabweichung | standard deviation | OK
470. das Warenhaus | department store | OK
471. die Standfläche | floor space/footprint | OK
472. die Startnummer | start number | OK
473. der Statiker | structural engineer | OK
474. die Statur | stature | OK
475. das Statut | statute | OK
476. die Stehlampe | floor lamp | OK
477. die Steilvorlage | perfect setup/open invitation (sports) | OK
478. der Steinadler | golden eagle | OK
479. die Steinbrücke | stone bridge | OK
480. die Sternschnuppe | falling star/shooting star | OK
481. der Steuerfreibetrag | tax exemption | IMPROVE: tax allowance - Freibetrag is a tax-free allowance, not a blanket exemption.
482. die Steueridentifikationsnummer | tax identification number | OK
483. die Steuerzahlung | tax payment | OK
484. die Freizeiteinrichtung | free time design | WRONG: leisure facility - Freizeiteinrichtung is a leisure or recreation facility, not free time design.
485. der Stierkampf | bullfight | OK
486. der Stoffbeutel | cloth bag | OK
487. das Fußballfeld | football field/football pitch/soccer field | OK
488. das Stoppschild | stop sign | OK
489. der Strafantrag | criminal complaint | OK
490. die Strahlenquelle | radiation source | OK
491. das Straßenverzeichnis | road directory | OK
492. die Streitkultur | culture of debate | OK
493. die Stringenz | stringency | OK
494. der Strommix | electricity mix | OK
495. die Subtraktion | subtraction | OK
496. die Subventionierung | subsidisation | OK
497. die Südküste | south coast/southern coast | OK
498. der Südost | south-east/southeast | OK
499. das Südufer | south bank | OK
500. der Suizidversuch | suicide attempt | OK
501. der Süßstoff | artificial sweetener/sugar substitute | OK
502. der Sympathieträger | popular figure | OK
503. der Tabellenkeller | bottom of the table | OK
504. die Tagesfahrt | day trip | OK
505. der Gebäudekomplex | building complex | OK
506. die Taiga | taiga | OK
507. der Talgrund | valley floor | OK
